Sample_ID,Date,Location,TDS (mg/L),pH,Free Chlorine (mg/L),Oil & Grease (mg/L)
SMP-1000,2024-01-01,Unit C,1157.9,6.97,0.16,19.3
SMP-1001,2024-01-02,Unit A,1190.0,6.95,0.19,23.9
SMP-1002,2024-01-03,Unit C,975.3,7.15,0.2,17.8
SMP-1003,2024-01-04,Unit C,966.5,6.91,0.07,14.2
SMP-1004,2024-01-05,Unit A,1484.7,7.25,0.14,14.3
SMP-1005,2024-01-06,Unit A,1674.3,7.17,0.11,5.3
SMP-1006,2024-01-07,Unit C,1089.5,7.99,0.25,15.8
SMP-1007,2024-01-08,Unit B,1312.7,6.89,0.17,14.9
SMP-1008,2024-01-09,Unit C,842.1,6.97,0.3,8.3
SMP-1009,2024-01-10,Unit C,1077.3,7.33,0.15,14.9
SMP-1010,2024-01-11,Unit C,1066.0,7.46,0.25,21.7
SMP-1011,2024-01-12,Unit C,1657.3,7.89,0.25,11.3
SMP-1012,2024-01-13,Unit A,1296.9,7.69,0.09,10.2
SMP-1013,2024-01-14,Unit C,782.0,7.45,0.18,20.5
SMP-1014,2024-01-15,Unit B,546.5,7.29,0.22,18.2
SMP-1015,2024-01-16,Unit A,886.8,7.47,0.26,30.3
SMP-1016,2024-01-17,Unit B,1251.8,7.02,0.13,8.4
SMP-1017,2024-01-18,Unit B,1297.3,7.11,0.11,18.6
SMP-1018,2024-01-19,Unit B,1423.8,6.76,0.23,16.6
SMP-1019,2024-01-20,Unit B,649.0,7.13,0.25,15.3
SMP-1020,2024-01-21,Unit A,1369.3,7.49,0.14,19.6
SMP-1021,2024-01-22,Unit A,1207.7,7.14,0.07,14.9
SMP-1022,2024-01-23,Unit B,1342.0,6.97,0.29,5.3
SMP-1023,2024-01-24,Unit B,1397.8,7.09,0.15,10.8
SMP-1024,2024-01-25,Unit A,1902.2,7.42,0.18,21.8
SMP-1025,2024-01-26,Unit A,1521.3,7.12,0.26,20.9
SMP-1026,2024-01-27,Unit A,1228.9,7.45,0.22,13.1
SMP-1027,2024-01-28,Unit C,1325.7,6.81,0.23,17.5
SMP-1028,2024-01-29,Unit C,914.1,6.94,0.1,28.9
SMP-1029,2024-01-30,Unit C,885.6,7.05,0.19,14.8
SMP-1030,2024-01-31,Unit B,637.3,6.81,0.22,14.9
SMP-1031,2024-02-01,Unit C,790.0,8.08,0.11,16.0
SMP-1032,2024-02-02,Unit B,1390.9,6.87,0.09,18.0
SMP-1033,2024-02-03,Unit B,928.0,7.47,0.3,13.3
SMP-1034,2024-02-04,Unit C,1342.8,7.0,0.18,18.0
SMP-1035,2024-02-05,Unit B,1591.1,7.05,0.12,5.3
SMP-1036,2024-02-06,Unit C,1263.5,7.29,0.3,16.7
SMP-1037,2024-02-07,Unit C,1379.1,6.76,0.29,15.3
SMP-1038,2024-02-08,Unit A,931.1,7.0,0.19,13.9
SMP-1039,2024-02-09,Unit C,1166.4,7.16,0.27,12.6
SMP-1040,2024-02-10,Unit A,1640.7,6.95,0.1,12.0
SMP-1041,2024-02-11,Unit C,862.8,6.95,0.12,10.9
SMP-1042,2024-02-12,Unit C,1485.0,7.53,0.23,3.4
SMP-1043,2024-02-13,Unit A,1718.0,7.5,0.26,13.7
SMP-1044,2024-02-14,Unit A,1337.4,7.07,0.26,20.5
SMP-1045,2024-02-15,Unit C,694.7,7.17,0.15,13.3
SMP-1046,2024-02-16,Unit B,1298.1,7.57,0.27,18.2
SMP-1047,2024-02-17,Unit A,1175.7,6.77,0.26,9.6
SMP-1048,2024-02-18,Unit B,1340.3,7.3,0.28,8.5
SMP-1049,2024-02-19,Unit B,1420.8,7.79,0.25,11.2
